Term	odds_ratio	Category	SampleID	CpGType	pvalue	EnrichType	-log10(Pval)
H3K4me2	1.394	HM	Clark2018_Argelaguet2019	Positive	1e-92	Enrich	26.0
RARA	1.277	TFBSrm	Clark2018_Argelaguet2019	Positive	1.26e-92	Enrich	26.0
NR1H2	1.333	TFBSrm	Clark2018_Argelaguet2019	Positive	2.26e-92	Enrich	26.0
PBX3	1.316	TFBS	Clark2018_Argelaguet2019	Positive	3.47e-92	Enrich	26.0
MYC	1.372	TFBSrm	Clark2018_Argelaguet2019	Positive	7.77e-92	Enrich	26.0
BACH2	1.377	TFBSrm	Clark2018_Argelaguet2019	Positive	1.22e-91	Enrich	26.0
SHOX2	1.265	TFBSrm	Clark2018_Argelaguet2019	Positive	1.5699999999999998e-91	Enrich	26.0
SETDB1	1.334	TFBSrm	Clark2018_Argelaguet2019	Positive	1.6299999999999999e-91	Enrich	26.0
GATA1	1.275	TFBS	Clark2018_Argelaguet2019	Positive	3.57e-91	Enrich	26.0
STAT2	1.278	TFBSrm	Clark2018_Argelaguet2019	Positive	5.229999999999999e-91	Enrich	26.0
SOX4	1.342	TFBSrm	Clark2018_Argelaguet2019	Positive	5.6e-91	Enrich	26.0
KLF4	1.314	TFBSrm	Clark2018_Argelaguet2019	Positive	6.839999999999999e-91	Enrich	26.0
PAX7	1.202	TFBS	Clark2018_Argelaguet2019	Positive	7.65e-91	Enrich	26.0
MBD2	1.295	TFBS	Clark2018_Argelaguet2019	Positive	7.749999999999999e-91	Enrich	26.0
EBF1	1.260	TFBS	Clark2018_Argelaguet2019	Positive	8.28e-91	Enrich	26.0
MSIN3A	1.397	TFBS	Clark2018_Argelaguet2019	Positive	1.23e-90	Enrich	26.0
SIRT1	1.231	TFBS	Clark2018_Argelaguet2019	Positive	1.32e-90	Enrich	26.0
SATB1	1.211	TFBS	Clark2018_Argelaguet2019	Positive	2.2599999999999997e-90	Enrich	26.0
POU2F1	1.279	TFBS	Clark2018_Argelaguet2019	Positive	5.77e-90	Enrich	26.0
IKZF1	1.266	TFBS	Clark2018_Argelaguet2019	Positive	1.2399999999999999e-89	Enrich	26.0
MYT1L	1.258	TFBSrm	Clark2018_Argelaguet2019	Positive	5.259999999999999e-89	Enrich	26.0
TRP73	1.291	TFBSrm	Clark2018_Argelaguet2019	Positive	9.539999999999999e-89	Enrich	26.0
TBX21	1.272	TFBS	Clark2018_Argelaguet2019	Positive	2.17e-88	Enrich	26.0
AFF4	1.350	TFBSrm	Clark2018_Argelaguet2019	Positive	2.22e-88	Enrich	26.0
TOP2B	1.353	TFBS	Clark2018_Argelaguet2019	Positive	3.05e-88	Enrich	26.0
CBX3	1.351	TFBS	Clark2018_Argelaguet2019	Positive	6.12e-88	Enrich	26.0
KCR	1.218	TFBS	Clark2018_Argelaguet2019	Positive	1.01e-87	Enrich	26.0
KLF5	1.285	TFBSrm	Clark2018_Argelaguet2019	Positive	5.42e-87	Enrich	26.0
BCL11B	1.296	TFBSrm	Clark2018_Argelaguet2019	Positive	1.21e-86	Enrich	26.0
TCF7	1.306	TFBS	Clark2018_Argelaguet2019	Positive	1.88e-86	Enrich	26.0
KDM6B	1.257	TFBS	Clark2018_Argelaguet2019	Positive	3.83e-86	Enrich	26.0
KDM6A	1.250	TFBS	Clark2018_Argelaguet2019	Positive	6.43e-86	Enrich	26.0
HCFC1	1.286	TFBS	Clark2018_Argelaguet2019	Positive	2.5e-85	Enrich	26.0
IKZF1	1.315	TFBSrm	Clark2018_Argelaguet2019	Positive	3.73e-85	Enrich	26.0
TOP2A	1.366	TFBS	Clark2018_Argelaguet2019	Positive	5.86e-85	Enrich	26.0
EHF	1.451	TFBSrm	Clark2018_Argelaguet2019	Positive	7.31e-85	Enrich	26.0
FOXO1	1.372	TFBSrm	Clark2018_Argelaguet2019	Positive	9.35e-85	Enrich	26.0
ING1	1.586	TFBS	Clark2018_Argelaguet2019	Positive	1.6e-84	Enrich	26.0
TAF2	1.366	TFBSrm	Clark2018_Argelaguet2019	Positive	1.97e-84	Enrich	26.0
SMARCA5	1.324	TFBSrm	Clark2018_Argelaguet2019	Positive	2.11e-84	Enrich	26.0
HAND2	1.286	TFBS	Clark2018_Argelaguet2019	Positive	2.74e-84	Enrich	26.0
IRF3	1.224	TFBSrm	Clark2018_Argelaguet2019	Positive	1e-83	Enrich	26.0
GTF2E	1.293	TFBSrm	Clark2018_Argelaguet2019	Positive	1.02e-83	Enrich	26.0
KLF15	1.396	TFBS	Clark2018_Argelaguet2019	Positive	1.72e-83	Enrich	26.0
E2F3	1.440	TFBSrm	Clark2018_Argelaguet2019	Positive	2.48e-83	Enrich	26.0
TCF7L1	1.275	TFBS	Clark2018_Argelaguet2019	Positive	3.47e-83	Enrich	26.0
SPNS1	1.441	TFBS	Clark2018_Argelaguet2019	Positive	9.46e-83	Enrich	26.0
ASH2L	1.210	TFBSrm	Clark2018_Argelaguet2019	Positive	1.0000000000000001e-82	Enrich	26.0
SOX11	1.258	TFBSrm	Clark2018_Argelaguet2019	Positive	2.1699999999999998e-82	Enrich	26.0
HIF1A	1.375	TFBSrm	Clark2018_Argelaguet2019	Positive	6.09e-82	Enrich	26.0
FLI1	1.253	TFBS	Clark2018_Argelaguet2019	Positive	6.129999999999999e-82	Enrich	26.0
NEUROD1	1.260	TFBS	Clark2018_Argelaguet2019	Positive	1.54e-81	Enrich	26.0
RARA	1.272	TFBS	Clark2018_Argelaguet2019	Positive	7.969999999999999e-81	Enrich	26.0
TBP	1.255	TFBS	Clark2018_Argelaguet2019	Positive	1.31e-80	Enrich	26.0
PHF6	1.619	TFBS	Clark2018_Argelaguet2019	Positive	4.7600000000000004e-80	Enrich	26.0
IRF3	1.293	TFBS	Clark2018_Argelaguet2019	Positive	8.48e-80	Enrich	26.0
KMT2D	1.308	TFBSrm	Clark2018_Argelaguet2019	Positive	1.31e-79	Enrich	26.0
ATOH1	1.318	TFBSrm	Clark2018_Argelaguet2019	Positive	3.15e-79	Enrich	26.0
ISL1	1.193	TFBS	Clark2018_Argelaguet2019	Positive	4.96e-79	Enrich	26.0
GLI3	1.272	TFBSrm	Clark2018_Argelaguet2019	Positive	9.9e-79	Enrich	26.0
GATA4	1.274	TFBSrm	Clark2018_Argelaguet2019	Positive	1.08e-78	Enrich	26.0
ESRRG	1.315	TFBSrm	Clark2018_Argelaguet2019	Positive	1.34e-78	Enrich	26.0
STAT5B	1.270	TFBS	Clark2018_Argelaguet2019	Positive	1.51e-78	Enrich	26.0
RFX3	1.304	TFBS	Clark2018_Argelaguet2019	Positive	3.6e-78	Enrich	26.0
CTNNB1	1.260	TFBSrm	Clark2018_Argelaguet2019	Positive	1.47e-77	Enrich	26.0
RUNX2	1.273	TFBS	Clark2018_Argelaguet2019	Positive	1.48e-77	Enrich	26.0
DGCR8	1.490	TFBS	Clark2018_Argelaguet2019	Positive	4.37e-77	Enrich	26.0
MAZ	1.229	TFBS	Clark2018_Argelaguet2019	Positive	6.3e-77	Enrich	26.0
STAT6	1.233	TFBS	Clark2018_Argelaguet2019	Positive	8.99e-77	Enrich	26.0
SP1	1.308	TFBSrm	Clark2018_Argelaguet2019	Positive	9.320000000000001e-77	Enrich	26.0
ZMIZ1	1.249	TFBS	Clark2018_Argelaguet2019	Positive	4.18e-76	Enrich	26.0
TNFSF11	1.442	TFBS	Clark2018_Argelaguet2019	Positive	1.3500000000000001e-75	Enrich	26.0
CHD8	1.256	TFBS	Clark2018_Argelaguet2019	Positive	4.19e-75	Enrich	26.0
MEF2D	1.272	TFBS	Clark2018_Argelaguet2019	Positive	4.9600000000000005e-75	Enrich	26.0
ASCL1	1.236	TFBSrm	Clark2018_Argelaguet2019	Positive	1.1599999999999999e-74	Enrich	26.0
FOXF1	1.254	TFBS	Clark2018_Argelaguet2019	Positive	1.47e-74	Enrich	26.0
EP300	1.267	TFBS	Clark2018_Argelaguet2019	Positive	3.35e-74	Enrich	26.0
CREB1	1.259	TFBS	Clark2018_Argelaguet2019	Positive	5.5899999999999994e-74	Enrich	26.0
CBFB	1.342	TFBSrm	Clark2018_Argelaguet2019	Positive	7.85e-74	Enrich	26.0
YY1	1.346	TFBSrm	Clark2018_Argelaguet2019	Positive	1.9500000000000002e-73	Enrich	26.0
SMC3	1.263	TFBS	Clark2018_Argelaguet2019	Positive	2.51e-73	Enrich	26.0
POLR3D	1.249	TFBS	Clark2018_Argelaguet2019	Positive	6.490000000000001e-73	Enrich	26.0
PTF1A	1.217	TFBS	Clark2018_Argelaguet2019	Positive	1.34e-72	Enrich	26.0
KAT2B	1.243	TFBS	Clark2018_Argelaguet2019	Positive	3.95e-72	Enrich	26.0
RFX1	1.469	TFBS	Clark2018_Argelaguet2019	Positive	5.97e-72	Enrich	26.0
RORC	1.224	TFBS	Clark2018_Argelaguet2019	Positive	8.330000000000001e-72	Enrich	26.0
HES5	1.480	TFBSrm	Clark2018_Argelaguet2019	Positive	8.670000000000001e-72	Enrich	26.0
RFX1	1.258	TFBSrm	Clark2018_Argelaguet2019	Positive	1.17e-71	Enrich	26.0
LMO2	1.227	TFBSrm	Clark2018_Argelaguet2019	Positive	1.43e-71	Enrich	26.0
ATF4	1.470	TFBS	Clark2018_Argelaguet2019	Positive	1.89e-71	Enrich	26.0
MORC3	1.398	TFBS	Clark2018_Argelaguet2019	Positive	2.22e-71	Enrich	26.0
SMC3	1.314	TFBSrm	Clark2018_Argelaguet2019	Positive	2.57e-71	Enrich	26.0
ZMYND8	1.307	TFBSrm	Clark2018_Argelaguet2019	Positive	3.51e-71	Enrich	26.0
TEAD	1.183	TFBSrm	Clark2018_Argelaguet2019	Positive	5.7e-71	Enrich	26.0
BRD4	1.336	TFBSrm	Clark2018_Argelaguet2019	Positive	1.98e-70	Enrich	26.0
LDB1	1.348	TFBS	Clark2018_Argelaguet2019	Positive	2.28e-70	Enrich	26.0
H4R3me2	1.307	HM	Clark2018_Argelaguet2019	Positive	3.5600000000000004e-70	Enrich	26.0
GABPA	1.287	TFBS	Clark2018_Argelaguet2019	Positive	4.27e-70	Enrich	26.0
CREB1	1.301	TFBSrm	Clark2018_Argelaguet2019	Positive	1.6599999999999999e-69	Enrich	26.0
XBP1	1.233	TFBS	Clark2018_Argelaguet2019	Positive	2.45e-69	Enrich	26.0
RXR	1.260	TFBSrm	Clark2018_Argelaguet2019	Positive	1.19e-68	Enrich	26.0
NELFB	1.289	TFBS	Clark2018_Argelaguet2019	Positive	1.2699999999999998e-68	Enrich	26.0
H4K5ac	1.328	HM	Clark2018_Argelaguet2019	Positive	1.3999999999999998e-68	Enrich	26.0
HIF1A	1.327	TFBS	Clark2018_Argelaguet2019	Positive	3.61e-68	Enrich	26.0
RXRG	1.253	TFBS	Clark2018_Argelaguet2019	Positive	4.7e-68	Enrich	26.0
YY1	1.256	TFBS	Clark2018_Argelaguet2019	Positive	8.34e-68	Enrich	26.0
SMC1A	1.316	TFBSrm	Clark2018_Argelaguet2019	Positive	1.1599999999999999e-67	Enrich	26.0
ERG	1.203	TFBS	Clark2018_Argelaguet2019	Positive	2.6899999999999998e-67	Enrich	26.0
FLI1	1.303	TFBSrm	Clark2018_Argelaguet2019	Positive	3.25e-67	Enrich	26.0
KDM1A	1.307	TFBSrm	Clark2018_Argelaguet2019	Positive	5.09e-66	Enrich	26.0
SF1	1.371	TFBS	Clark2018_Argelaguet2019	Positive	6.69e-66	Enrich	26.0
SMAD2-3	1.292	TFBSrm	Clark2018_Argelaguet2019	Positive	1.82e-65	Enrich	26.0
VDR	1.269	TFBSrm	Clark2018_Argelaguet2019	Positive	2.3100000000000002e-65	Enrich	26.0
IRF7	1.408	TFBSrm	Clark2018_Argelaguet2019	Positive	2.8e-65	Enrich	26.0
ZFPM1	1.261	TFBSrm	Clark2018_Argelaguet2019	Positive	2.96e-65	Enrich	26.0
OTX2	1.184	TFBS	Clark2018_Argelaguet2019	Positive	5.82e-65	Enrich	26.0
DPF2	1.417	TFBSrm	Clark2018_Argelaguet2019	Positive	1.5e-64	Enrich	26.0
NANOG	1.247	TFBS	Clark2018_Argelaguet2019	Positive	7.970000000000001e-64	Enrich	26.0
DLX5	1.200	TFBS	Clark2018_Argelaguet2019	Positive	9.660000000000001e-64	Enrich	26.0
CBX2	1.356	TFBSrm	Clark2018_Argelaguet2019	Positive	1.1900000000000001e-63	Enrich	26.0
SOX30	1.465	TFBSrm	Clark2018_Argelaguet2019	Positive	1.91e-63	Enrich	26.0
TCF4	1.270	TFBS	Clark2018_Argelaguet2019	Positive	2.02e-63	Enrich	26.0
METTL3	1.240	TFBS	Clark2018_Argelaguet2019	Positive	2.22e-63	Enrich	26.0
AIRE	1.200	TFBS	Clark2018_Argelaguet2019	Positive	3.08e-63	Enrich	26.0
KAT2A	1.280	TFBSrm	Clark2018_Argelaguet2019	Positive	4.4e-63	Enrich	26.0
EED	1.464	TFBS	Clark2018_Argelaguet2019	Positive	5.16e-63	Enrich	26.0
H2AFX	1.245	TFBS	Clark2018_Argelaguet2019	Positive	6.78e-63	Enrich	26.0
CTCF	1.246	TFBS	Clark2018_Argelaguet2019	Positive	1.1399999999999999e-62	Enrich	26.0
NELFE	1.307	TFBSrm	Clark2018_Argelaguet2019	Positive	4.62e-62	Enrich	26.0
AFF4	1.372	TFBS	Clark2018_Argelaguet2019	Positive	4.86e-62	Enrich	26.0
MYOD1	1.242	TFBS	Clark2018_Argelaguet2019	Positive	1.15e-61	Enrich	26.0
RUNX3	1.275	TFBSrm	Clark2018_Argelaguet2019	Positive	1.22e-61	Enrich	26.0
NR1H	1.221	TFBSrm	Clark2018_Argelaguet2019	Positive	2.66e-61	Enrich	26.0
H3K5ac	1.265	HM	Clark2018_Argelaguet2019	Positive	5.19e-61	Enrich	26.0
E2F4	1.259	TFBS	Clark2018_Argelaguet2019	Positive	1.08e-60	Enrich	26.0
ERG	1.234	TFBSrm	Clark2018_Argelaguet2019	Positive	1.32e-60	Enrich	26.0
SALL4	1.263	TFBSrm	Clark2018_Argelaguet2019	Positive	1.52e-60	Enrich	26.0
NR4A1	1.184	TFBSrm	Clark2018_Argelaguet2019	Positive	2.2399999999999998e-60	Enrich	26.0
TRIM28	1.269	TFBSrm	Clark2018_Argelaguet2019	Positive	2.85e-60	Enrich	26.0
ETS1	1.261	TFBSrm	Clark2018_Argelaguet2019	Positive	3.51e-60	Enrich	26.0
RAD21	1.294	TFBSrm	Clark2018_Argelaguet2019	Positive	3.7e-60	Enrich	26.0
NCOA2	1.212	TFBSrm	Clark2018_Argelaguet2019	Positive	7.62e-60	Enrich	26.0
PRDM1	1.277	TFBSrm	Clark2018_Argelaguet2019	Positive	9.77e-60	Enrich	26.0
STAT1	1.300	TFBSrm	Clark2018_Argelaguet2019	Positive	1.06e-59	Enrich	26.0
T	1.227	TFBS	Clark2018_Argelaguet2019	Positive	5.58e-59	Enrich	26.0
STAT1	1.238	TFBS	Clark2018_Argelaguet2019	Positive	6.55e-59	Enrich	26.0
AICDA	1.327	TFBS	Clark2018_Argelaguet2019	Positive	7.4500000000000005e-59	Enrich	26.0
PHC1	1.259	TFBS	Clark2018_Argelaguet2019	Positive	7.460000000000001e-59	Enrich	26.0
MYOG	1.223	TFBSrm	Clark2018_Argelaguet2019	Positive	8.84e-59	Enrich	26.0
ASH2L	1.220	TFBS	Clark2018_Argelaguet2019	Positive	2.01e-58	Enrich	26.0
SAP30	1.682	TFBS	Clark2018_Argelaguet2019	Positive	2.18e-58	Enrich	26.0
NUCKS1	1.444	TFBS	Clark2018_Argelaguet2019	Positive	2.35e-58	Enrich	26.0
PRDM13	1.229	TFBSrm	Clark2018_Argelaguet2019	Positive	2.92e-58	Enrich	26.0
IRF4	1.233	TFBS	Clark2018_Argelaguet2019	Positive	3.9300000000000005e-58	Enrich	26.0
BHLHE40	1.241	TFBSrm	Clark2018_Argelaguet2019	Positive	6.390000000000001e-58	Enrich	26.0
H3S28ph	1.262	TFBS	Clark2018_Argelaguet2019	Positive	9.13e-58	Enrich	26.0
TBX21	1.249	TFBSrm	Clark2018_Argelaguet2019	Positive	2.23e-57	Enrich	26.0
ERF	1.280	TFBSrm	Clark2018_Argelaguet2019	Positive	3.6e-57	Enrich	26.0
MAPK8	1.291	TFBS	Clark2018_Argelaguet2019	Positive	3.86e-57	Enrich	26.0
TCF4	1.189	TFBSrm	Clark2018_Argelaguet2019	Positive	4.28e-57	Enrich	26.0
GTF2B	1.295	TFBSrm	Clark2018_Argelaguet2019	Positive	5.27e-57	Enrich	26.0
EP400	1.332	TFBS	Clark2018_Argelaguet2019	Positive	1.07e-56	Enrich	26.0
MED1	1.290	TFBSrm	Clark2018_Argelaguet2019	Positive	1.21e-56	Enrich	26.0
TCF3	1.301	TFBSrm	Clark2018_Argelaguet2019	Positive	1.67e-56	Enrich	26.0
CBX6	1.473	TFBS	Clark2018_Argelaguet2019	Positive	2.4e-56	Enrich	26.0
HOXD11	1.252	TFBS	Clark2018_Argelaguet2019	Positive	3.17e-56	Enrich	26.0
MED1	1.221	TFBS	Clark2018_Argelaguet2019	Positive	3.33e-56	Enrich	26.0
HistoneLysineCrotonylation	1.187	HM	Clark2018_Argelaguet2019	Positive	3.84e-56	Enrich	26.0
GTF2E2	1.313	TFBS	Clark2018_Argelaguet2019	Positive	5.3700000000000005e-56	Enrich	26.0
CBX8	1.294	TFBS	Clark2018_Argelaguet2019	Positive	6.46e-56	Enrich	26.0
TP53	1.226	TFBS	Clark2018_Argelaguet2019	Positive	7.06e-56	Enrich	26.0
THRB	1.227	TFBS	Clark2018_Argelaguet2019	Positive	1.16e-55	Enrich	26.0
BIRA	1.319	TFBS	Clark2018_Argelaguet2019	Positive	3.26e-55	Enrich	26.0
MYBL1	1.379	TFBSrm	Clark2018_Argelaguet2019	Positive	7.34e-55	Enrich	26.0
HCFC1	1.293	TFBSrm	Clark2018_Argelaguet2019	Positive	1.1399999999999999e-54	Enrich	26.0
H3K36me2	1.282	HM	Clark2018_Argelaguet2019	Positive	3.4199999999999994e-54	Enrich	26.0
E2F4	1.260	TFBSrm	Clark2018_Argelaguet2019	Positive	4.8099999999999994e-54	Enrich	26.0
PRDM13	1.242	TFBS	Clark2018_Argelaguet2019	Positive	8.249999999999999e-54	Enrich	26.0
NR1H4	1.433	TFBSrm	Clark2018_Argelaguet2019	Positive	2.22e-53	Enrich	26.0
KLF3	1.244	TFBS	Clark2018_Argelaguet2019	Positive	2.43e-53	Enrich	26.0
DPF2	1.427	TFBS	Clark2018_Argelaguet2019	Positive	4.36e-53	Enrich	26.0
SIN3B	1.414	TFBSrm	Clark2018_Argelaguet2019	Positive	5.1399999999999995e-53	Enrich	26.0
NCOA3	1.287	TFBSrm	Clark2018_Argelaguet2019	Positive	5.58e-53	Enrich	26.0
TRIM28	1.173	TFBS	Clark2018_Argelaguet2019	Positive	1.4499999999999999e-52	Enrich	26.0
ZFP281	1.234	TFBSrm	Clark2018_Argelaguet2019	Positive	2.82e-52	Enrich	26.0
NR3C1	1.278	TFBSrm	Clark2018_Argelaguet2019	Positive	6.159999999999999e-52	Enrich	26.0
VDR	1.222	TFBS	Clark2018_Argelaguet2019	Positive	6.32e-52	Enrich	26.0
MAX	1.247	TFBSrm	Clark2018_Argelaguet2019	Positive	8.619999999999999e-52	Enrich	26.0
RBPJ	1.185	TFBSrm	Clark2018_Argelaguet2019	Positive	8.91e-52	Enrich	26.0
RUNX1	1.280	TFBSrm	Clark2018_Argelaguet2019	Positive	9.829999999999999e-52	Enrich	26.0
ATF3	1.204	TFBSrm	Clark2018_Argelaguet2019	Positive	1.33e-51	Enrich	26.0
MAFB	1.233	TFBSrm	Clark2018_Argelaguet2019	Positive	1.44e-51	Enrich	26.0
NFIB	1.177	TFBSrm	Clark2018_Argelaguet2019	Positive	2.54e-51	Enrich	26.0
MAF	1.183	TFBS	Clark2018_Argelaguet2019	Positive	3.91e-51	Enrich	26.0
SOX2	1.263	TFBSrm	Clark2018_Argelaguet2019	Positive	4e-51	Enrich	26.0
POU5F1	1.281	TFBSrm	Clark2018_Argelaguet2019	Positive	6.47e-51	Enrich	26.0
NR1D1	1.200	TFBS	Clark2018_Argelaguet2019	Positive	7.43e-51	Enrich	26.0
RBPJ	1.209	TFBS	Clark2018_Argelaguet2019	Positive	1.46e-50	Enrich	26.0
TRP53	1.278	TFBSrm	Clark2018_Argelaguet2019	Positive	1.52e-50	Enrich	26.0
NCAPD3	1.267	TFBS	Clark2018_Argelaguet2019	Positive	1.56e-50	Enrich	26.0
STAT3	1.275	TFBSrm	Clark2018_Argelaguet2019	Positive	4.27e-50	Enrich	26.0
RFX6	1.309	TFBS	Clark2018_Argelaguet2019	Positive	5.29e-50	Enrich	26.0
EP300	1.281	TFBSrm	Clark2018_Argelaguet2019	Positive	7.77e-50	Enrich	26.0
PAX5	1.250	TFBSrm	Clark2018_Argelaguet2019	Positive	9.73e-50	Enrich	26.0
BHLHE40	1.206	TFBS	Clark2018_Argelaguet2019	Positive	1.28e-49	Enrich	26.0
ELF4	1.200	TFBS	Clark2018_Argelaguet2019	Positive	1.36e-49	Enrich	26.0
RBP1	1.323	TFBSrm	Clark2018_Argelaguet2019	Positive	1.38e-49	Enrich	26.0
ZFP809	1.273	TFBSrm	Clark2018_Argelaguet2019	Positive	1.63e-49	Enrich	26.0
GPS2	1.287	TFBS	Clark2018_Argelaguet2019	Positive	2.42e-49	Enrich	26.0
CDX2	1.167	TFBSrm	Clark2018_Argelaguet2019	Positive	3.43e-49	Enrich	26.0
RELA	1.209	TFBS	Clark2018_Argelaguet2019	Positive	5.12e-49	Enrich	26.0
FOXP3	1.270	TFBSrm	Clark2018_Argelaguet2019	Positive	6.73e-49	Enrich	26.0
MSL1	1.364	TFBS	Clark2018_Argelaguet2019	Positive	1.1399999999999999e-48	Enrich	26.0
FOXP1	1.263	TFBSrm	Clark2018_Argelaguet2019	Positive	1.74e-48	Enrich	26.0
GLI1	1.267	TFBSrm	Clark2018_Argelaguet2019	Positive	3.69e-48	Enrich	26.0
RXRA	1.201	TFBS	Clark2018_Argelaguet2019	Positive	1.4100000000000002e-47	Enrich	26.0
SREBF1	1.202	TFBS	Clark2018_Argelaguet2019	Positive	1.99e-47	Enrich	26.0
IRF1	1.225	TFBSrm	Clark2018_Argelaguet2019	Positive	3.3400000000000004e-47	Enrich	26.0
H3K79me2	1.273	HM	Clark2018_Argelaguet2019	Positive	4.990000000000001e-47	Enrich	26.0
TGIF1	1.292	TFBSrm	Clark2018_Argelaguet2019	Positive	6.830000000000001e-47	Enrich	26.0
MYCN	1.330	TFBS	Clark2018_Argelaguet2019	Positive	8.62e-47	Enrich	26.0
FOSL1	1.230	TFBSrm	Clark2018_Argelaguet2019	Positive	9.04e-47	Enrich	26.0
GTF3C1	1.310	TFBS	Clark2018_Argelaguet2019	Positive	1.0099999999999999e-46	Enrich	26.0
SMAD3	1.266	TFBSrm	Clark2018_Argelaguet2019	Positive	1.87e-46	Enrich	26.0
ZBTB17	1.196	TFBSrm	Clark2018_Argelaguet2019	Positive	2.5e-46	Enrich	26.0
DNMT3A	1.192	TFBS	Clark2018_Argelaguet2019	Positive	4e-46	Enrich	26.0
H2Bub1	1.343	HM	Clark2018_Argelaguet2019	Positive	4.64e-46	Enrich	26.0
ESR1	1.245	TFBSrm	Clark2018_Argelaguet2019	Positive	1.78e-45	Enrich	26.0
SOX17	1.262	TFBSrm	Clark2018_Argelaguet2019	Positive	3.28e-45	Enrich	26.0
RBPJL	1.243	TFBS	Clark2018_Argelaguet2019	Positive	7.57e-45	Enrich	26.0
EGR1	1.314	TFBSrm	Clark2018_Argelaguet2019	Positive	1.01e-44	Enrich	26.0
-2	1.252	MetagenePC	Clark2018_Argelaguet2019	Positive	1.91e-44	Enrich	26.0
GATA6	1.176	TFBSrm	Clark2018_Argelaguet2019	Positive	2.63e-44	Enrich	26.0
TAF2	1.239	TFBS	Clark2018_Argelaguet2019	Positive	2.7000000000000004e-44	Enrich	26.0
TBX5	1.160	TFBSrm	Clark2018_Argelaguet2019	Positive	3.14e-44	Enrich	26.0
TEAD4	1.181	TFBSrm	Clark2018_Argelaguet2019	Positive	3.46e-44	Enrich	26.0
BHLHE41	1.306	TFBSrm	Clark2018_Argelaguet2019	Positive	4.18e-44	Enrich	26.0
ZFX	1.429	TFBS	Clark2018_Argelaguet2019	Positive	5.65e-44	Enrich	26.0
PAX7	1.237	TFBSrm	Clark2018_Argelaguet2019	Positive	6.93e-44	Enrich	26.0
IRF4	1.262	TFBSrm	Clark2018_Argelaguet2019	Positive	1.34e-43	Enrich	26.0
EBF4	1.233	TFBSrm	Clark2018_Argelaguet2019	Positive	1.7500000000000002e-43	Enrich	26.0
RELA	1.238	TFBSrm	Clark2018_Argelaguet2019	Positive	3.89e-43	Enrich	26.0
SCML2	1.881	TFBS	Clark2018_Argelaguet2019	Positive	7.34e-43	Enrich	26.0
BATF	1.192	TFBS	Clark2018_Argelaguet2019	Positive	1.0599999999999999e-42	Enrich	26.0
FGFR1	1.284	TFBSrm	Clark2018_Argelaguet2019	Positive	1.0899999999999998e-42	Enrich	26.0
ZACN	1.253	TFBS	Clark2018_Argelaguet2019	Positive	1.1599999999999999e-42	Enrich	26.0
SOX10	1.311	TFBS	Clark2018_Argelaguet2019	Positive	1.51e-42	Enrich	26.0
IKZF	1.239	TFBSrm	Clark2018_Argelaguet2019	Positive	1.56e-42	Enrich	26.0
BATF3	1.227	TFBSrm	Clark2018_Argelaguet2019	Positive	2.2299999999999997e-42	Enrich	26.0
TBP	1.245	TFBSrm	Clark2018_Argelaguet2019	Positive	3.55e-42	Enrich	26.0
SOX2	1.192	TFBS	Clark2018_Argelaguet2019	Positive	6.549999999999999e-42	Enrich	26.0
ARID1A	1.379	TFBSrm	Clark2018_Argelaguet2019	Positive	8.87e-42	Enrich	26.0
SRF	1.213	TFBSrm	Clark2018_Argelaguet2019	Positive	1.45e-41	Enrich	26.0
SMAD4	1.246	TFBSrm	Clark2018_Argelaguet2019	Positive	4.67e-41	Enrich	26.0
SFMBT1	1.396	TFBS	Clark2018_Argelaguet2019	Positive	5.66e-41	Enrich	26.0
TEAD4	1.207	TFBS	Clark2018_Argelaguet2019	Positive	2.36e-40	Enrich	26.0
EBF1	1.174	TFBSrm	Clark2018_Argelaguet2019	Positive	3.2799999999999997e-40	Enrich	26.0
USP16	1.307	TFBS	Clark2018_Argelaguet2019	Positive	3.3299999999999997e-40	Enrich	26.0
GFI1B	1.249	TFBSrm	Clark2018_Argelaguet2019	Positive	3.81e-40	Enrich	26.0
RORC	1.175	TFBSrm	Clark2018_Argelaguet2019	Positive	7.21e-40	Enrich	26.0
BRDT	1.304	TFBS	Clark2018_Argelaguet2019	Positive	1.57e-39	Enrich	26.0
USP7	1.815	TFBS	Clark2018_Argelaguet2019	Positive	4.72e-39	Enrich	26.0
RAD23B	1.194	TFBSrm	Clark2018_Argelaguet2019	Positive	8.81e-39	Enrich	26.0
HOPX	1.251	TFBSrm	Clark2018_Argelaguet2019	Positive	1.13e-38	Enrich	26.0
-3	1.217	MetagenePC	Clark2018_Argelaguet2019	Positive	2.72e-38	Enrich	26.0
PRDM16	1.196	TFBS	Clark2018_Argelaguet2019	Positive	3.3e-38	Enrich	26.0
17	1.533	nFlankCG	Clark2018_Argelaguet2019	Positive	9.18e-38	Enrich	26.0
LHX6	1.316	TFBS	Clark2018_Argelaguet2019	Positive	1.14e-37	Enrich	26.0
IRF2	1.257	TFBSrm	Clark2018_Argelaguet2019	Positive	1.6e-37	Enrich	26.0
EP400	1.347	TFBSrm	Clark2018_Argelaguet2019	Positive	1.82e-37	Enrich	26.0
HDAC3	1.218	TFBSrm	Clark2018_Argelaguet2019	Positive	4.4200000000000004e-37	Enrich	26.0
